a	一(個)
notice	注意到
people	人們
problem	問題
more	更多的
November	十一月
perhaps	或許
program	節目
morning	早上
now	現在
person	人
proud	驕傲的
most	大多數的
number	號碼
pet	寵物
public	公立的
pull	拉
row	划(船)
ship	船
sofa	沙發
pumpkin	南瓜
rule	規則
shirt	襯衫
soldier	軍人
purple	紫色的
ruler	尺
shoe	鞋子
some	一些
push	推
run	跑
shop	商店
someone	某人
put	放
sad	悲傷的
shopkeeper	店主
something	某事
quarter	一刻鐘
safe	安全的
short	短的
sometimes	有時候
queen	皇后
sail	航行
shorts	短褲
somewhere	某處
question	問題
salad	沙拉
should	應該
son	兒子
quick	迅速的
sale	出售
shoulder	肩膀
song	歌曲
quiet	安靜的
salesman	推銷員
shout	喊叫
soon	不久
quite	相當
salt	鹽
show	指示
sore	疼痛的
quiz	小考
same	相同的
shy	害羞的
sorry	抱歉
rabbit	兔子
sandwich	三明治
sick	生病的
sound	聽起來
race	賽跑
Saturday	星期六
side	旁邊
soup	湯
radio	收音機
sacred	神聖的
sidewalk	人行道
south	南方
railroad	鐵路
save	節省
sight	視力
space	空間
rain	下雨
say	說
sign	標誌
spaghetti	義大利麵
rainbow	彩虹
school	學校
simple	簡單的
speak	說
rainy	下雨的
science	科學
since	自從
special	特別的
raise	舉起
scooter	速克達機車
sing	唱歌
spell	拼字
rat	老鼠
screen	螢幕
singer	歌手
spend	花費
read	讀
sea	海
sir	先生
spider	蜘蛛
ready	準備好的
season	季節
sister	姊妹
spoon	湯匙
real	真的
seat	座位
sit	坐
sport	運動
really	真地
second	第二
six	六
spring	春天
recorder	錄音機
secretary	秘書
sixteen	十六
square	正方形的
red	紅色(的)
see	看
sixteenth	第十六
stairs	樓梯
refrigerator	冰箱
seed	種子
sixth	第六
stamp	郵票
remember	記得
seesaw	蹺蹺板
sixty	六十
stand	站立
repeat	重複
seldom	很少
size	尺寸
star	星星
reporter	記者
sell	賣
skate	溜冰
start	開始
rest	休息
send	寄
skirt	裙子
station	車站
restaurant	餐館
sky	天空
stay	停留
restroom	洗手間
sentence	句子
sleep	睡覺
steak	牛排
rice	米飯
September	九月
slide	溜滑梯
still	仍然
rich	有錢的
serious	嚴重的
slim	苗條的
stomach	胃
ride	騎
set	(電視)機
slow	慢的
stop	停
right	右方
seven	七
small	小的
store	商店
ring	戒指
seventeen	十七
smart	聰明的
straight	直的
river	河
seventeenth	第十七
smell	聞起來
story	故事
road	道路
seventh	第七
smile	微笑
strange	奇怪的
robot	機器人
seventy	七十
smoke	煙
stranger	陌生人
ROC	中華民國
several	幾個的
snack	點心
strawberry	草莓
rock	岩石
shake	搖動
snake	蛇
street	街道
roll	滾
shall	將
snow	下雪
strong	強壯的
room	房間
shape	形狀
snowman	雪人
student	學生
share	分享
snowy	下雪的
study	研讀
rope	繩子
shark	鯊魚
so	如此地
stupid	笨的
rose	玫瑰
she	她
soccer	足球
subject	科目
round	圓形的
sheep	綿羊
socks	襪子
successful	成功的
sugar	糖
third	第三
turn	轉動
week	星期
summer	夏天
thirsty	口渴的
turtle	烏龜
weekend	週末
sun	太陽
thirteen	十三
twelfth	第十二
welcome	受歡迎的
Sunday	星期日
thirteenth	第十三
twelve	十二
well	好地
sunny	晴朗的
thirty	三十
twenty	二十
west	西方
supermarket	超市
this	這個
twentieth	第二十
wet	濕的
sure	確定的
throat	喉嚨
twice	兩次
whale	鯨魚
surf	衝浪
throw	丟
two	二
what	什麼
surprise	使驚訝
those	那些
type	打字
when	何時
surprised	感驚訝的
though	雖然
typhoon	颱風
where	何處
sweater	毛衣
thousand	千
umbrella	雨傘
whether	是否
sweet	甜的
three	三
uncle	伯(叔)
which	哪一個
swim	游泳
Thursday	星期四
under	在…之下
white	白色(的)
swing	鞦韆
ticket	票
understand	了解
who	誰
table	桌子
tidy	整潔的
unhappy	不快樂的
whose	誰的
tail	尾巴
tiger	老虎
uniform	制服
why	為什麼
Taiwan	臺灣
tie	領帶
until	直到
wife	妻子
take	拿
time	時間
up	向上
will	將
talk	說話
tired	疲倦的
USA	美國
win	贏
tall	高的
to	到
use	使用
wind	風
tape	錄音帶
toast	土司
useful	有用的
window	窗戶
taste	品嚐
today	今天
usually	通常
windy	多風的
taxi	計程車
toe	腳趾
vacation	假期
winter	冬天
tea	茶
together	一起
vegetable	蔬菜
wise	明智的
teach	教
tomato	番茄
very	非常
wish	希望
teacher	教師
tomorrow	明天
vest	背心
with	和
team	團隊
tonight	今晚
video	影像的
without	沒有
teenager	青少年
too	也
violin	小提琴
woman	女人
telephone	電話
tooth	牙齒
visit	參觀
wonderful	極好的
television	電視
top	頂端
voice	聲音
word	字
tell	告訴
total	總計
wait	等待
work	工作
temple	寺廟
touch	碰觸
waiter	男服務生
workbook	作業本
ten	十
towel	毛巾
waitress	女服務生
worker	工人
tennis	網球
town	城鎮
wake	醒來
world	世界
tenth	第十的
toy	玩具
walk	走路
worry	擔心
terrible	可怕的
traffic	交通
wall	牆壁
write	寫
test	考試
train	火車
wallet	皮夾
writer	作家
than	比…
trash	垃圾
want	想要
wrong	錯誤的
thank	謝謝
treat	請客
warm	溫暖的
yard	庭院
that	那個
tree	樹
wash	清洗
year	年
the	這/那
trick	惡作劇
watch	看
yellow	黃色(的)
theater	戲院
trip	旅行
water	水
yes	是
then	那時
trouble	麻煩
watermelon	西瓜
yesterday	昨天
there	那裡
truck	卡車
wave	波浪
yet	尚未
these	這些
true	真實的
way	道路
you	你(們)
they	他們
try	嘗試
we	我們
young	年輕的
thick	厚的
weak	弱的
yummy	好吃的
thin	瘦的
tub	浴缸
wear	穿
zebra	斑馬
thing	事情
Tuesday	星期二
weather	天氣
zero	零
think	想
turkey	火雞
Wednesday	星期三
zoo	動物園
